,max_height,cleared_rows,avg_height,number_of_holes,bumpiness,deepest_well,game_over,score,moves
0,-0.3459808317234928,0.30671388847333625,0.26808362270335306,-0.5026689541707975,-0.2949441465773035,-0.3349506537491289,-0.3871737089286045,681,1000
1,-0.13978100114462233,0.48178614871412595,0.255016163495029,-0.499724280022373,-0.01609165269049384,-0.25620350035770467,0.19705118517896403,581,1000
2,-0.4646168098905378,0.8714799947707436,-0.8596249294646279,-0.5152025610814108,-0.4000659118007206,-0.4263657134815626,0.28322606417474283,574,1000
3,-0.19478384894314874,0.3199190345053783,0.20903537276225115,-0.355648025059038,-0.01609165269049384,-0.5365662916107304,-0.446069613681108,544,1000
4,-0.3459808317234928,0.7187774077271887,0.26808362270335306,-0.5026689541707975,-0.10266042260703911,-0.3237696680948302,-0.3871737089286045,543,1000
5,-0.18465604615939457,0.587813164216646,0.032292127760630646,-0.4048394144645795,-0.04887606518239829,-0.17227181827439697,-0.312868547237079,536,1000
6,-0.18465604615939457,0.5924202705846084,-0.005628463367669423,-0.4048394144645795,-0.04887606518239829,-0.23852451385933984,-0.0611928198379853,533,1000
7,-0.46135174449092053,0.5005215154569125,-0.5408104380784189,-0.3925614150884811,-0.02579485286333938,-0.3097758348130153,0.22459637448434755,525,1000
8,-0.18465604615939457,0.5924202705846084,0.21405529486476993,-0.4048394144645795,-0.04887606518239829,-0.3389597801953061,-0.312868547237079,518,1000
9,-0.38719919750792847,0.47356991430560014,0.4898736141775371,-0.36347683554847743,-0.04887606518239829,-0.21740618898243505,-0.1231282357944416,513,1000
10,-0.18465604615939457,0.5924202705846084,0.032292127760630646,-0.4048394144645795,-0.04887606518239829,-0.3389597801953061,-0.312868547237079,513,1000
11,-0.1520893477248874,0.5366130369254305,0.013398210045289918,-0.333941943832153,-0.21274107242781623,-0.4461951200107217,-0.5308279460411893,505,909
12,-0.26474646218923853,0.4379393835195283,0.21405529486476993,-0.4048394144645795,-0.032483858936446064,-0.3389597801953061,-0.312868547237079,504,1000
