,max_height,cleared_rows,avg_height,number_of_holes,bumpiness,deepest_well,game_over,score,moves
0,-0.3443884651704921,0.4756150631158418,0.2209287302677715,-0.47549702815927763,-0.0711326011349675,-0.3892026109450455,-0.31841119355379277,49679,93087
1,-0.3443884651704921,0.46837063059455436,0.31742492052742366,-0.47549702815927763,-0.0711326011349675,-0.3892026109450455,-0.3723335123060394,16357,30685
2,-0.5236855916703412,0.4756150631158418,0.2209287302677715,-0.8136236715114904,-0.1076032634095021,-0.5713755647164964,-0.8519740318500433,14901,26962
3,-0.3443884651704921,0.46837063059455436,0.31742492052742366,-0.47549702815927763,-0.0711326011349675,-0.3892026109450455,-0.31841119355379277,14373,26971
4,-0.4004984036726589,0.569334555366066,0.12703805586564876,-0.5074004206224484,-0.009081181563628554,-0.394414433683968,0.2883817577812464,13722,26634
5,-0.5477919993871512,0.22075784274853982,-0.35345633643767127,-0.5751748161269662,-0.1076032634095021,-0.4491795097252408,0.2883817577812464,12871,22417
6,-0.45814343613722663,0.6066439185126693,-0.1463005398939829,-0.6553065962918594,-0.0711326011349675,-0.5637277795505706,0.2771704767449086,10048,18830
7,-0.3443884651704921,0.46837063059455436,0.31742492052742366,-0.5213422695980032,-0.0711326011349675,-0.4042712113084969,-0.31841119355379277,9553,17937
8,-0.4004984036726589,0.3382964303595741,0.12703805586564876,-0.5074004206224484,-0.10163364672661868,-0.394414433683968,0.19466458934699749,8582,15291
9,-0.3443884651704921,0.3666373677693108,0.5175830214484765,-0.6604748146088624,-0.04922455691793168,-0.421341814188235,0.18195857939829496,7843,14132
10,-0.45814343613722663,0.580192461290541,-0.07235429184025288,-0.5664942892484541,-0.12532875733101578,-0.3892026109450455,0.06477187744176027,7821,14192
11,-0.5718984071039612,0.5224748092409539,0.2291152360337497,-0.5878976566874033,-0.12072088538075487,-0.4260524093024019,0.8951747091162856,7673,14252
12,-0.5718984071039612,0.8466504692560277,-0.1463005398939829,-0.6501383779748564,-0.0711326011349675,-0.5637277795505706,0.2771704767449086,6939,13266
13,-0.5236855916703412,0.46837063059455436,-0.5053134538849424,-0.48987481764507,-0.1076032634095021,-0.3466382699903202,-0.31841119355379277,6152,11029
14,-0.3443884651704921,0.46837063059455436,0.30128643281175965,-0.47549702815927763,-0.0711326011349675,-0.4486274997108023,-0.31841119355379277,6068,11562
15,-0.5987196123667133,0.6658795169372683,0.6254222824353617,-0.6445002044283876,-0.04922455691793168,-0.3306272348673375,0.18195857939829496,5734,10502
16,-0.6565952008105324,0.3666373677693108,0.9005394463031733,-0.6909319784097893,-0.0893679322722348,-0.48933471871180595,0.004837038610848776,5384,9756
17,-0.5718984071039612,0.3666373677693108,0.31742492052742366,-0.6398019413408506,-0.16458450936497626,-0.5080523884765591,-0.25320359539601667,5075,9026
18,-0.6442151814256265,0.3666373677693108,-0.07235429184025288,-0.47549702815927763,-0.12532875733101578,-0.3892026109450455,-0.31841119355379277,4612,8390
