,max_height,cleared_rows,avg_height,number_of_holes,bumpiness,deepest_well,game_over,score,moves
0,-0.6235381289024687,0.9502243389360747,0.4128339212976384,-0.8964680637602553,-0.1629411719054643,-0.2549955599654994,-0.6167999427486196,641,1000
1,-0.5264389258513409,0.6331104470692113,-0.5976411253631215,-0.6520997362055092,-0.2386111634078656,-0.4160318430010936,-0.1568521332027632,618,1000
2,-0.21797572275920962,0.7260669834401885,-0.5424483851367108,-0.6520997362055092,-0.33811182378170823,-0.591979924578691,-0.7326529847673002,614,1000
3,-0.3084754161483187,0.6774774216133397,0.2580183285168309,-0.6668517531782363,-0.39809609273033963,-0.38529955227119583,0.23679902401227376,612,1000
4,-0.6235381289024687,0.8941850000621032,0.059769758917288945,-0.8964680637602553,-0.10330880479353971,-0.34019118281672545,-0.045185042489215926,591,1000
5,-0.6582722496184958,0.6467486089702804,-0.792709492718097,-0.4291758440451782,-0.3437001132463809,-0.5320607558576809,0.4077923375337902,582,1000
6,-0.4597043360629982,0.8038147834593552,0.15788594244405688,-0.6520997362055092,-0.33811182378170823,-0.6110663165916181,-0.7326529847673002,572,1000
7,-0.4010848667506448,0.6150176129000411,-0.5424483851367108,-0.5764591791776696,-0.19578968447292955,-0.591979924578691,0.03121757750726506,571,1000
8,-0.603190779753864,0.7540866528771742,0.1358115192988686,-0.5684529183845035,-0.19071817981330824,-0.4601666345569941,0.12895531692693862,567,1000
9,-0.46789379228465944,0.6467486089702804,0.18048315145652008,-0.6520997362055092,-0.15755853596480968,-0.5250005173193268,0.0980857384225299,565,1000
10,-0.5264389258513409,0.8941850000621032,0.4444642556476115,-0.8964680637602553,-0.17682967585938628,-0.4160318430010936,-0.1568521332027632,562,1000
11,-0.4827577546817434,0.6161532660964852,0.5584154867351528,-0.6520997362055092,-0.19578968447292955,-0.6249896728096189,0.8293676315814693,560,1000
12,-0.5180310020075338,0.7456641509440234,0.2925944376468223,-0.5529942199210627,-0.2927734382852084,-0.6484020974547859,0.26003499175963307,552,1000
13,-0.6582722496184958,0.6574052279826357,-0.4537944153087793,-0.47970312931269654,-0.19578968447292955,-0.4253868056679515,0.8293676315814693,550,1000
14,-0.429339722800213,0.7439813993868576,-0.5424483851367108,-0.5406377901253437,-0.06379241336832853,-0.3956280928366237,0.3554440069384417,549,1000
15,-0.5069967705397516,0.7694839057305788,0.2363018401074637,-0.606911483299903,-0.20692458857163196,-0.4270508682073645,-0.2897795929329919,548,1000
16,-0.6021437615240519,0.8941850000621032,0.4444642556476115,-0.6520997362055092,-0.17682967585938628,-0.34019118281672545,0.3030956763430932,547,1000
17,-0.6021437615240519,0.8941850000621032,0.4444642556476115,-0.6520997362055092,-0.17682967585938628,-0.34019118281672545,0.3030956763430932,547,1000
18,-0.6042377979836762,0.8038147834593552,0.00040376878441708564,-0.5849399172835372,-0.11142672751004741,-0.3603266980633526,0.16355277819343172,546,1000
19,-0.5153094364244584,0.6467486089702804,0.868805140776391,-0.5849399172835372,-0.11142672751004741,-0.3603266980633526,0.16355277819343172,544,1000
20,-0.429339722800213,0.8038147834593552,0.15788594244405688,-0.6520997362055092,-0.33811182378170823,-0.5368944515613687,-0.7326529847673002,541,1000
